,Jarosite,Goethite,Hematite,Kaolinite,Alunite,Illite,Smectite,Gypsum
426.82,0.177532812313874,0.01900366626166779,0.06078343146428238,0.6533732967593459,0.6549520023094416,0.6508109504923328,0.4125829120569166,0.7623214927485177
436.99,0.16712739337985483,0.020838270802302255,0.060866488751439525,0.6737536859888769,0.6628863120302046,0.6571262128205554,0.4304215184176574,0.7692687800530799
447.17,0.20874930567496072,0.02289399210626166,0.06023165053474408,0.6908970392738466,0.6853116372302527,0.6627601074475542,0.44886833703138795,0.7763226780940929
457.34,0.26742321908847533,0.02425990164763947,0.0593890523328308,0.7063372135003528,0.7082077651817742,0.6678233487013403,0.46398513850869655,0.7832316347300904
467.52,0.3134826638095678,0.024921887125249995,0.058616994628423895,0.717992503281616,0.7217620558723638,0.6713250541792422,0.47605951000217195,0.7903308128399623
477.69,0.3470643223076567,0.025718863975759617,0.05805739010781147,0.7278185781186948,0.7321307348723216,0.6790563139321505,0.4857672449982457,0.7977017157831073
487.87,0.377658861293206,0.027234035407948068,0.057684257517105625,0.7382766126934394,0.7410635228372424,0.6926098636458108,0.49324601613024827,0.8051368436596881
498.04,0.4076201121605265,0.029898612149811994,0.05737230250080098,0.749892109183864,0.7500909568177163,0.7119959445085514,0.5021962182330453,0.8122265341271271
508.22,0.43746285489032244,0.034038643318079695,0.05731658528387327,0.7611634737137946,0.7588120952689753,0.7327784891303041,0.5118859077271387,0.8187789228781812
518.39,0.4692683023276412,0.0398768752596086,0.05738494279442826,0.7722887477603074,0.7680865302230996,0.748991531739451,0.5258960940021111,0.8246474660828892
528.57,0.5021246868154643,0.04795994660388729,0.05800858894324189,0.7831324642063033,0.7778626174292465,0.7603383379872355,0.540806101286217,0.829901764039917
538.74,0.534507825641482,0.058623656535278755,0.05910973766202725,0.7929232747331675,0.7862044460089866,0.7695335777635132,0.5520491021481243,0.8343939369107753
548.92,0.5648942113106217,0.07158083740047284,0.059374790411690415,0.8005915045925818,0.7935216910567489,0.7767769630844595,0.5628467775061743,0.8386071229340148
559.09,0.5929484397215478,0.08554947633230409,0.06028750242731276,0.8084882702092742,0.8006827007008138,0.7832786778862761,0.5742193961454699,0.8426329863544787
